tweet_id,user_id,createdate,tweet,scrapping_id,scrappingid,user_id,createdate
1329592123574734849,52109961,2020-11-20 01:07:19,Updateblog  Pule Aplikasi gaya hidup sehat yang paling ngertiin kamu ! ,2,3,52109961,2020-11-20 01:07:19
1329593205562646530,1139715913177939971,2020-11-20 01:11:37,"Kl saya baca seh, Asuransi Prudential jelas terlibat neh permainan kotornya dgn Kacab .Ini warning buat… ",2,3,1139715913177939971,2020-11-20 01:11:37
1329594468379619331,3166208880,2020-11-20 01:16:38,Assalamualaikum..selamat pagi dan salam jumaat...Jom meeting dulu..  Prudential Damen ,2,3,3166208880,2020-11-20 01:16:38
1329594608011997184,441746765,2020-11-20 01:17:11,"terkejut bangun pagi tadi , Prudential bagi ni . Alhamdulillah terima kasih Allah ",2,3,441746765,2020-11-20 01:17:11
1329615724294283264,1073554955531939840,2020-11-20 02:41:06, pengennya kaya prudential,2,3,1073554955531939840,2020-11-20 02:41:06
1329619861840924672,55090594,2020-11-20 02:57:32,Today i don't feel like doing anything~ 😴Tapi masih kepikiran (banget) prudential duh ya Allah 🥴,2,3,55090594,2020-11-20 02:57:32
1329621456108494849,444161566,2020-11-20 03:03:52,Apahal Prudential nk scam mak aku pulak 😠,2,3,444161566,2020-11-20 03:03:52
1329624107915173888,896812916514496512,2020-11-20 03:14:25,"Rawat jalan kanker ke 4 dan ke 5 dengan kemoterapi, semua dibayarkan sesuai tagihan dengan kartu hitam Prudential 👍… ",2,3,896812916514496512,2020-11-20 03:14:25
1329625251760668672,1321666701272834048,2020-11-20 03:18:57,"Assalamualaikum 😊Saya Syazwan! Prudential Agent 😎Jadi pada sesiapa yang berminat nak mohon medical card,HIBAH,Inv… ",2,3,1321666701272834048,2020-11-20 03:18:57
1329628150528032768,164169919,2020-11-20 03:30:29,"Saya mahu ejen yang selain dari Prudential, PruBSN, Zurich, Allianz &amp; Aia. Terima kasih kepada yang sudi DM saya. M… ",2,3,164169919,2020-11-20 03:30:29
1329628993167925248,1072289380809621504,2020-11-20 03:33:49,prudential itu mau nya apa yah? knp gak profesional lagi?  _ojk  _PRUDENTIAL … ,2,3,1072289380809621504,2020-11-20 03:33:49
1329641472933588993,1066096229887631360,2020-11-20 04:23:25,_j_minkyakya Oke mulai besok daftar prudential wid ,2,3,1066096229887631360,2020-11-20 04:23:25
1329676222352146433,1518767318,2020-11-20 06:41:30,"_ Kalau butuh informasi ttg produk dari Prudential, bisa saya bantu infokan yah.",2,3,1518767318,2020-11-20 06:41:30
1329729308785401857,965151073122992128,2020-11-20 10:12:27, Yukk gua pake Prudential  ni hahah,2,3,965151073122992128,2020-11-20 10:12:27
1329744630926098436,273915100,2020-11-20 11:13:20,Just want to share the good news. Tengok dekat bahagian installment contribution. Dah jadi RM 0.00. Alhamdulillah P… ,2,3,273915100,2020-11-20 11:13:20
1329783616344231937,1322754988393725953,2020-11-20 13:48:14, Kok gua pakenya prudential ya bukan bpjs?,2,3,1322754988393725953,2020-11-20 13:48:14
1329794958610423809,1053953342,2020-11-20 14:33:19,Alhamdulillah. Dapat reward dari Prudential lagi.Thank you to all my clients for your trust &amp; support 🙏🏻❤️. Alham… ,2,3,1053953342,2020-11-20 14:33:19
1329801266965352449,436349870,2020-11-20 14:58:23,  Company apa tu? Prudential ke?,2,3,436349870,2020-11-20 14:58:23
1329812624603639808,136899361,2020-11-20 15:43:31, Ni akun yg bawa Prudential nih akun beneran apa akun2an yo ... tpi lumayan menghibur.... 😄😄,2,3,136899361,2020-11-20 15:43:31
1329825338180788224,1718199342,2020-11-20 16:34:02,memanggggggg yang paling tau dan mengerti ya prudential satu ini ,2,3,1718199342,2020-11-20 16:34:02
1329900266632728580,1335512298,2020-11-20 21:31:46,"acara workshop  bareng pecinta kopi dan kretek,29-06-2013,cangkir cofee prudential tower kav 79  temansehati",2,3,1335512298,2020-11-20 21:31:46
1329927271138770946,130398573,2020-11-20 23:19:04,Perjalanan Hidup Sehat Semakin Mudah dengan Pulse By Prudential   BloggerFLP,2,3,130398573,2020-11-20 23:19:04
