tweet_id,user_id,createdate,tweet,scrapping_id,scrappingid,user_id,createdate
1.33058E+18,1.27076E+18,11/22/2020 18:25,Andai ku bisa Prudential untuk muTapi ku hanya manusia biasa...Always Listening.Always Understanding.,2,3,1.27076E+18,11/22/2020 18:25
1.33117E+18,118646322,11/24/2020 9:26,Aplikasi Pulse dari Prudential Hadirkan Tiga Fitur Baru ,2,3,118646322,11/24/2020 9:26
1.33108E+18,345363174,11/24/2020 3:36,Assalamualaikum dan selamat pagi 😇Pagi ni belajar Magic Bill/Bil Ajaib Presentation dgn wakil company Prudential… ,2,3,345363174,11/24/2020 3:36
1.33071E+18,158772393,11/23/2020 3:22,Belanja selfie dengan facemask Prudential. ,2,3,158772393,11/23/2020 3:22
1.33104E+18,15074781,11/24/2020 1:12,blogupdate untuk mendukung gaya hiduo sehatmu ,2,3,15074781,11/24/2020 1:12
1.33117E+18,1055781128,11/24/2020 9:49,Dapat lebihan duit dari Tabarru'. makin bertambah saving akaun prudential aku hehe . sapa kata amik insurans tu rug… ,2,3,1055781128,11/24/2020 9:49
1.33089E+18,1.27704E+18,11/23/2020 15:00,"hari ini sedang sayang banget sama mas ami my prudential 🤪dari milihin tempat aku ngopi ketemu temen baru, karena… ",2,3,1.27704E+18,11/23/2020 15:00
1.33105E+18,1053953342,11/24/2020 1:22,"I'm at Prudential  Jaya 33 in Petaling Jaya, Selangor, Selangor ",2,3,1053953342,11/24/2020 1:22
1.33084E+18,890459652,11/23/2020 11:41,Katanya dia bagaimanapun menerima kejutan semalam apabila dikunjungi wakil Insurance “Prudential Bsn Takaful” bagi… ,2,3,890459652,11/23/2020 11:41
1.33116E+18,598243189,11/24/2020 9:13,Kenapa lah I tak full time dengan prudential dari awal,2,3,598243189,11/24/2020 9:13
1.33092E+18,467022501,11/23/2020 17:06,Lepak dgn abang hensem yg awesome.Tq aslam lepak dgn saya td. agentemanprudentialknigthrosesKR… ,2,3,467022501,11/23/2020 17:06
1.33113E+18,2958157020,11/24/2020 6:45,Lepasni prudential pls buat contest voucher foot locker pulak pls,2,3,2958157020,11/24/2020 6:45
1.33069E+18,609055508,11/23/2020 2:06,Monday Sharing bersama Thaha Associates... Doakan kami semoga terus berusaha dan istiqamah untuk memberi kesedaran… ,2,3,609055508,11/23/2020 2:06
1.33116E+18,7.70132E+17,11/24/2020 8:41,Pentingnya insurans untuk bantu pada masa akan datang &amp; dalam masa yg sama juga kita menyimpan. Semoga bermanfaat… ,2,3,7.70132E+17,11/24/2020 8:41
1.33053E+18,38467477,11/22/2020 15:27,Perencanaan kesehatan nih.. bloggerflp,2,3,38467477,11/22/2020 15:27
1.33103E+18,393954498,11/24/2020 0:35,Perjalanan Hidup Sehat Semakin Mudah dengan Pulse By Prudential  ,2,3,393954498,11/24/2020 0:35
1.33076E+18,2583524162,11/23/2020 6:27,Perjalanan Hidup Sehat Semakin Mudah dengan Pulse By Prudential   BloggerFLP ,2,3,2583524162,11/23/2020 6:27
